run_id,tech,generation,coverage,assembler,reference,seed,n50,contigs,largest_contig,total_length,genome_fraction_pct,mismatches_per_100_kbp,indels_per_100_kbp,misassemblies,busco_complete_pct,merqury_qv,ram_mb,wall_sec
ont_r9_10x_miniasm_orig_s13,ont_r9,ont_r9,10,miniasm,orig,13,50729,65,111199,3010662,,,,,0.0,,,
ont_r9_10x_raven_orig_s13,ont_r9,ont_r9,10,raven,orig,13,68849,57,163210,3355132,72.428,717.41,1271.88,1,8.9,,,
ont_r9_20x_flye_orig_s13,ont_r9,ont_r9,20,flye,orig,13,4636615,2,4636615,4650668,100.0,40.48,130.01,0,69.4,,,
ont_r9_20x_miniasm_orig_s13,ont_r9,ont_r9,20,miniasm,orig,13,2510677,7,2510677,4531623,,,,,0.0,,,
ont_r9_20x_raven_orig_s13,ont_r9,ont_r9,20,raven,orig,13,2555114,5,2555114,4619120,99.776,150.25,424.67,0,33.9,,,
ont_r9_30x_flye_orig_s13,ont_r9,ont_r9,30,flye,orig,13,4638032,2,4638032,4641426,100.0,16.84,79.69,0,80.6,,,
ont_r9_30x_miniasm_orig_s13,ont_r9,ont_r9,30,miniasm,orig,13,4548214,2,4548214,4550099,,,,,0.0,,,
ont_r9_30x_raven_orig_s13,ont_r9,ont_r9,30,raven,orig,13,4202434,2,4202434,4630768,99.903,51.31,187.74,0,50.8,,,
ont_r9_50x_flye_orig_s13,ont_r9,ont_r9,50,flye,orig,13,4638793,2,4638793,4646371,100.0,5.71,60.62,0,84.7,,,
ont_r9_50x_miniasm_orig_s13,ont_r9,ont_r9,50,miniasm,orig,13,4546567,5,4546567,4551587,,,,,0.0,,,
ont_r9_50x_raven_orig_s13,ont_r9,ont_r9,50,raven,orig,13,4638727,1,4638727,4638727,99.992,15.28,72.07,0,79.8,,,
ont_r9_5x_flye_orig_s13,ont_r9,ont_r9,5,flye,orig,13,132464,43,297324,4438610,88.664,1534.45,2086.48,3,8.9,,,
ont_r9_5x_miniasm_orig_s13,ont_r9,ont_r9,5,miniasm,orig,13,22808,11,34740,246222,,,,,0.0,,,
ont_r9_5x_raven_orig_s13,ont_r9,ont_r9,5,raven,orig,13,23411,11,34555,231130,5.008,1361.09,2024.95,0,0.0,,,
